,Exercise,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Continuous or Alternating Legs ,Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification
,Single Arm Suspension Single Leg Standing Bent Knee Contralateral Bicep Curl,,,Advanced,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Suspension Trainer,1,None,0,Single Leg Standing Bent Knee,Single Arm,Continuous,Supinated,No Load,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Contralateral,Balance
,Single Arm Suspension Single Leg Standing Bent Knee Ipsilateral Bicep Curl,,,Advanced,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Suspension Trainer,1,None,0,Single Leg Standing Bent Knee,Single Arm,Continuous,Supinated,No Load,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Ipsilateral,Balance
,Ring L Sit Chin Up,Video Demonstration,,Advanced,Biceps,Biceps Brachii,Latissimus Dorsi,Rectus Abdominis,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,Supinated,No Load,Continuous,No Elevation,Single Exercise,Vertical Pull,Isometric Hold,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
,Single Ring L Sit Chin Up,Video Demonstration,,Advanced,Biceps,Biceps Brachii,Latissimus Dorsi,Rectus Abdominis,Gymnastic Rings,1,None,0,Hanging,Double Arm,Continuous,Supinated,No Load,Continuous,No Elevation,Single Exercise,Vertical Pull,Isometric Hold,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
,Single Arm Kettlebell Bottoms Up Single Leg Standing Bent Knee Ipsilateral Overhead Press,,,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,1,None,0,Single Leg Standing Bent Knee,Single Arm,Continuous,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Ipsilateral,Balance
,Ring Pelican Curl,Video Demonstration,Video Explanation,Advanced,Biceps,Biceps Brachii,Pectoralis Major,,Gymnastic Rings,2,None,0,Standing,Double Arm,Continuous,Supinated,No Load,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
,Ring Two Finger Chin Up,,,Advanced,Biceps,Biceps Brachii,Latissimus Dorsi,,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,Supinated,No Load,Continuous,No Elevation,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
,Bodyweight Pseudo Planche Push Up,Video Demonstration,,Advanced,Chest,Pectoralis Major,Anterior Deltoids,,Bodyweight,1,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
,Parallette Pseudo Planche Push Up,Video Demonstration,,Advanced,Chest,Pectoralis Major,Anterior Deltoids,,Parallette Bars,2,None,0,Prone,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
,Parallette Single Leg Close Grip Push Up,,,Advanced,Triceps,Triceps Brachii,Pectoralis Major,,Parallette Bars,1,None,0,Prone,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Calisthenics
,Single Arm Macebell Single Leg Standing Bent Knee Contralateral 360,,,Advanced,Shoulders,Posterior Deltoids,Rectus Abdominis,,Macebell,1,None,0,Single Leg Standing Bent Knee,Single Arm,Continuous,Neutral,Behind Back,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Contralateral,Balance
,Macebell Inside Circle to 360,,Video Explanation,Advanced,Shoulders,Posterior Deltoids,Rectus Abdominis,,Macebell,1,None,0,Standing,Double Arm,Continuous,Neutral,Behind Back,Continuous,No Elevation,Combo Exercise,Rotational,,,Transverse Plane,Frontal Plane,,Upper Body,Pull,Compound,Bilateral,Ballistics
,Single Arm Landmine Single Leg Standing Bent Knee Ipsilateral Shoulder Press,,,Advanced,Shoulders,Anterior Deltoids,,,Landmine,1,None,0,Single Leg Standing Bent Knee,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Ipsilateral,Balance
,Single Arm Landmine Single Leg Standing Bent Knee Contralateral Shoulder Press,,,Advanced,Shoulders,Anterior Deltoids,,,Landmine,1,None,0,Single Leg Standing Bent Knee,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Contralateral,Balance
,Alternating Single Arm Landmine Single Leg Standing Bent Knee Shoulder Press,,,Advanced,Shoulders,Anterior Deltoids,,,Landmine,1,None,0,Single Leg Standing Bent Knee,Single Arm,Alternating,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,Frontal Plane,,Upper Body,Push,Compound,Unilateral,Balance
,Macebell Alternating 360 to Pivot Split Squat Uppercut,Video Demonstration,,Advanced,Shoulders,Posterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Macebell,1,None,0,Split Squat,Double Arm,Continuous,Neutral,Behind Back,Alternating,No Elevation,Combo Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Bilateral,Ballistics
,Double Clubbell Single Leg Standing Bent Knee Side Shoulder Cast to Side Flag Press,,,Advanced,Shoulders,Posterior Deltoids,,,Clubbell,2,None,0,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Combo Exercise,Shoulder Abduction,,,Frontal Plane,,,Upper Body,Push & Pull,Compound,Bilateral,Unsorted*
,Macebell Alternating 360 to Front Flag Press,,,Advanced,Shoulders,Posterior Deltoids,Anterior Deltoids ,Rectus Abdominis,Macebell,1,None,0,Standing,Double Arm,Continuous,Neutral,Behind Back,Continuous,No Elevation,Combo Exercise,Rotational,,,Transverse Plane,,,Upper Body,Push & Pull,Compound,Bilateral,Ballistics
,Double Indian Club Crescent Swing,,,Advanced,Shoulders,Posterior Deltoids,Obliques,,Indian Club,2,None,0,Standing,Double Arm,Alternating,Neutral,Other,Continuous,No Elevation,Single Exercise,Unsorted*,,,Transverse Plane,,,Upper Body,Unsorted*,,Unilateral,Mobility
,Single Arm Macebell Inside Circle to 360,,,Advanced,Shoulders,Posterior Deltoids,Rectus Abdominis,,Macebell,1,None,0,Standing,Single Arm,Continuous,Neutral,Behind Back,Continuous,No Elevation,Combo Exercise,Rotational,,,Transverse Plane,Frontal Plane,,Upper Body,Pull,Compound,Unilateral,Ballistics
,Bulgarian Bag Spin,Video Demonstration,Video Explanation,Advanced,Shoulders,Posterior Deltoids,Obliques,,Bulgarian Bag,1,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Bilateral,Unsorted*
,Bulgarian Bag Alternating Spin,Video Demonstration,,Advanced,Shoulders,Posterior Deltoids,Obliques,,Bulgarian Bag,1,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Bilateral,Unsorted*
,Double Kettlebell Feet Elevated Renegade Row,Video Demonstration,,Advanced,Back,Latissimus Dorsi,,,Kettlebell,2,Bench (Flat),1,Prone,Double Arm,Alternating,Neutral,Other,Continuous,Feet Elevated,Single Exercise,Horizontal Pull,Anti-Extension,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding
,Double Kettlebell Feet Elevated Renegade Row to Push Up,Video Demonstration,,Advanced,Back,Latissimus Dorsi,,,Kettlebell,2,Bench (Flat),1,Prone,Double Arm,Alternating,Neutral,Other,Continuous,Feet Elevated,Combo Exercise,Horizontal Pull,Horizontal Push,Anti-Extension,Sagittal Plane,,,Upper Body,Push & Pull,Compound,Unilateral,Bodybuilding
,Single Arm Kettlebell Snatch to Overhead Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Combo Exercise,Hip Hinge,Knee Dominant,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
,Barbell Zercher Alternating Reverse Lunge,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,1,None,0,Standing,Double Arm,Continuous,No Grip,Zercher,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Barbell Zercher Alternating Forward Lunge,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,1,None,0,Standing,Double Arm,Continuous,No Grip,Zercher,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Barbell Zercher Walking Lunge,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,1,None,0,Walking,Double Arm,Continuous,No Grip,Zercher,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Barbell Zercher Alternating Lateral Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Barbell,1,None,0,Walking,Double Arm,Continuous,No Grip,Zercher,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Slider Barbell Zercher Lateral Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,1,Barbell,1,Standing,Double Arm,Continuous,No Grip,Zercher,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Slider Barbell Zercher Reverse Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Barbell,1,Standing,Double Arm,Continuous,No Grip,Zercher,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Suspension Pelican Curl,,,Advanced,Biceps,Biceps Brachii,Pectoralis Major,Brachioradialis,Suspension Trainer,1,None,0,Standing,Double Arm,Continuous,Supinated,No Load,Continuous,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Unsorted*
,Bar Archer Pull Up,Video Demonstration,Video Explanation,Advanced,Back,Latissimus Dorsi,,,Pull Up Bar,1,None,0,Hanging,Double Arm,Alternating,Pronated,No Load,Continuous,No Elevation,Single Exercise,Vertical Pull,,,Frontal Plane,,,Upper Body,Pull,Compound,Unilateral,Calisthenics
,Bar False Grip Pull Up,,Video Explanation,Advanced,Back,Latissimus Dorsi,,,Pull Up Bar,1,None,0,Hanging,Double Arm,Continuous,False Grip,No Load,Continuous,No Elevation,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
,Bar L Sit Chin Up,Video Demonstration,,Advanced,Biceps,Biceps Brachii,Latissimus Dorsi,Rectus Abdominis,Pull Up Bar,1,None,0,Hanging,Double Arm,Continuous,Supinated,No Load,Continuous,No Elevation,Single Exercise,Vertical Pull,Isometric Hold,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
,Bar L Sit Pull Up,Video Demonstration,,Advanced,Back,Latissimus Dorsi,Biceps Brachii,Rectus Abdominis,Pull Up Bar,1,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Vertical Pull,Isometric Hold,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
,Bar Tuck Back Lever with Alternating Single Leg Extensions,,,Advanced,Abdominals,Rectus Abdominis,,,Pull Up Bar,1,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,Alternating,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Upper Body,Other,Compound,Unilateral,Calisthenics
,Bar Tuck Front Lever with Alternating Single Leg Extensions,,,Advanced,Abdominals,Rectus Abdominis,,,Pull Up Bar,1,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,Alternating,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,Calisthenics
,Barbell Squat Clean to Push Press,,,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Maximus,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Combo Exercise,Vertical Push,Hip Hinge,Knee Dominant,Sagittal Plane,,,Full Body,Push & Pull,Compound,Bilateral,Olympic Weightlifting 
,Barbell Squat Clean to Overhead Press,,,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Maximus,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Combo Exercise,Vertical Push,Hip Hinge,Knee Dominant,Sagittal Plane,,,Full Body,Push & Pull,Compound,Bilateral,Olympic Weightlifting 
,Barbell Power Clean to Front Rack Squat,Video Demonstration,Video Explanation,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Front Rack,Continuous,No Elevation,Combo Exercise,Knee Dominant,Hip Hinge,,Sagittal Plane,,,Full Body,Push & Pull,Compound,Bilateral,Olympic Weightlifting 
,Barbell Hang Power Clean to Front Rack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Front Rack,Continuous,No Elevation,Combo Exercise,Knee Dominant,Hip Hinge,,Sagittal Plane,,,Full Body,Push & Pull,Compound,Bilateral,Olympic Weightlifting 
,Barbell Hang Power Clean to Split Jerk,Video Demonstration,,Advanced,Shoulders,Anterior Deltoids,Gluteus Maximus,,Barbell,1,None,0,Staggered Stance,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Combo Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,Push & Pull,Compound,Unilateral,Olympic Weightlifting 
,Barbell Hang Power Clean to Push Jerk,Video Demonstration,Video Explanation,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Combo Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,Push & Pull,Compound,Bilateral,Olympic Weightlifting 
,Barbell Hang Power Clean to Push Press,Video Demonstration,Video Explanation,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Combo Exercise,Hip Hinge,Vertical Push,,Sagittal Plane,,,Full Body,Push & Pull,Compound,Bilateral,Olympic Weightlifting 
,Barbell Hang Power Clean to Overhead Press,,,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Combo Exercise,Hip Hinge,Vertical Push,,Sagittal Plane,,,Full Body,Push & Pull,Compound,Bilateral,Olympic Weightlifting 
,Barbell Hang Squat Clean to Split Jerk,Video Demonstration,,Advanced,Shoulders,Anterior Deltoids,Gluteus Maximus,,Barbell,1,None,0,Staggered Stance,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Combo Exercise,Vertical Push,Hip Hinge,Knee Dominant,Sagittal Plane,,,Full Body,Push & Pull,Compound,Unilateral,Olympic Weightlifting 
,Barbell Hang Squat Clean to Push Jerk,Video Demonstration,,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Maximus,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Combo Exercise,Vertical Push,Hip Hinge,Knee Dominant,Sagittal Plane,,,Full Body,Push & Pull,Compound,Bilateral,Olympic Weightlifting 
,Barbell Hang Squat Clean to Push Press,,,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Maximus,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Combo Exercise,Vertical Push,Hip Hinge,Knee Dominant,Sagittal Plane,,,Full Body,Push & Pull,Compound,Bilateral,Olympic Weightlifting 
,Barbell Hang Squat Clean to Overhead Press,,,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Maximus,Barbell,1,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Combo Exercise,Vertical Push,Hip Hinge,Knee Dominant,Sagittal Plane,,,Full Body,Push & Pull,Compound,Bilateral,Olympic Weightlifting 
,Double Kettlebell Clean to Front Rack Squat,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Combo Exercise,Hip Hinge,Knee Dominant,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
,Double Kettlebell Clean to Push Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Minimus,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Combo Exercise,Hip Hinge,Vertical Push,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
,Double Kettlebell Clean to Front Rack Alternating Forward Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,2,None,0,Standing,Double Arm,Continuous,Neutral,Front Rack,Alternating,No Elevation,Combo Exercise,Hip Hinge,Knee Dominant,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
,Double Kettlebell Glute Bridge Isometric Bench Press,Video Demonstration,,Novice,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Kettlebell,2,Bench (Flat),1,Bridge,Double Arm,Continuous,Pronated,Above Chest,Continuous,No Elevation,Single Exercise,Horizontal Push,Isometric Hold,,Sagittal Plane,,,Full Body,Push,Compound,Bilateral,Bodybuilding
,Slider Archer Push Up,Video Demonstration,,Advanced,Chest,Pectoralis Major,,,Sliders,1,None,0,Prone,Single Arm,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Frontal Plane,,,Upper Body,Push,Compound,Unilateral,Unsorted*
,Suspension Archer Push Up,Video Demonstration,Video Explanation,Advanced,Chest,Pectoralis Major,,,Suspension Trainer,1,None,0,Prone,Double Arm,Alternating,Neutral,No Load,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Frontal Plane,,,Upper Body,Push,Compound,Unilateral,Unsorted*
,Superband Chaos Push Up,Video Demonstration,,Advanced,Chest,Pectoralis Major,Triceps Brachii,,Superband,1,None,0,Prone,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Unsorted*
,Bodyweight Pivot Split Squat,,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Bodyweight,1,None,0,Split Squat,No Arms,Continuous,No Grip,No Load,Alternating,No Elevation,Single Exercise,Rotational,Knee Dominant,,Transverse Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
,Single Arm Kettlebell Clean to Thruster,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,Quadriceps Femoris,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Combo Exercise,Hip Hinge,Vertical Push,Knee Dominant,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Unsorted*
,Single Arm Kettlebell Clean to Push Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Combo Exercise,Hip Hinge,Vertical Push,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
,Single Arm Kettlebell Clean to Push Jerk,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Combo Exercise,Hip Hinge,Vertical Push,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
,Single Arm Kettlebell Clean to Front Rack Contralateral Forward Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Combo Exercise,Hip Hinge,Knee Dominant,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Contralateral,Ballistics
,Single Arm Kettlebell Clean to Front Rack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,None,0,Standing,Single Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Combo Exercise,Hip Hinge,Knee Dominant,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
,Landmine Pivot Split Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Landmine,1,None,0,Split Squat,Double Arm,Continuous,Neutral,Other,Alternating,No Elevation,Single Exercise,Rotational,Knee Dominant,,Transverse Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
